name,num_reviews
Galaxy Hair London,0
Kova Patisserie Chinatown,2
Clarendon Serviced Apartments - Shaftesbury Mansion,0
Bun House,60
C & R Cafe Restaurant,22
Chinese Medicine,0
Caffe Concerto - Shaftesbury Avenue,8
CLOSED Hair and Beauty Studio,0
Crispins Food and Wine 247,1
3d nails @ Le Salon London China town,3
Cafe TPT,18
Chinatown Bakery,23
Chinatown Gate,430
Dumplings' Legend,61
Ermei Sichuan Restaurant,3
Doughnut Time,31
Golden Gate Cake Shop,7
Golden Dragon Chinatown,37
Golden Phoenix,34
Feng Shui Inn,9
Gerrard's Corner,25
Far East Chinese,3
Good Friend Chicken,14
Haozhan,13
Hong Kong Buffet,32
ICHIBUNS SOHO,65
Hovarda,35
Jen Cafe,11
Imperial China,14
Joy Luck Restaurant,3
Lido,17
Little Lamb London,6
Le Hanoi,11
Little Korea Restaurant,14
Little Wooden Hut,3
Mamasons Dirty Ice cream (Chinatown London),43
Lotus Garden,7
London Chinatown Restaurant,52
Chinese Tapas House 爱吃鬼小屋,3
Misato,67
Mr Wu,41
Old Tree Daiwan Bee,11
New Loon Fung Restaurant,9
Old Town 97,10
Olle Korean Barbecue,43
Pho & Bun,33
Orient London,22
Plum Valley Chinese Restaurant,19
SHIBUYA SOHO,12
Tao Tao Ju,20
Super Star London,7
Thai Tho Soho,27
The Palomar,37
Tokyo Diner,62
Viet Food,40
Wan Chai Corner,16
Wonderful Patisserie,3
Wong Kei,44
XU Teahouse & Restaurant,15
Yolkin,7
Young Cheng,22
Monga Fried Chicken 艋舺雞排,9
Little Four Seasons,22
Chatime,19
Rasa Sayang Restaurant,21
Guanghwa Bookshop,2
Beijing Tong Ren Tang Retail Ltd,0
Candy Cafe,3
China Exchange,1
Cuppacha,22
De Hems Dutch Cafe Bar,48
Experimental Cocktail Club Chinatown,15
Happy Lemon,11
Hong Ning,0
Ku Bar,5
Loon Fung Chinatown,16
Lo's Noodle Co Ltd,1
New Loon Moon Supermarket,11
Opium Cocktail bar and Dim Sum Parlour,35
P2bus,3
SeeWoo,11
Step in Reflexology,1
The Blue Posts,16
The Light Lounge,9
Waxy's Little Sister,47
Young Cheng Fresh Seafood Shop,0
Baiwei,1
Yifang Fruit Tea Chinatown,5
Beijing Dumpling,36
BIG C 100 Desserts Cafe,1
Bubblewrap Waffle,23
Bake 麵包屋,11
Le Salon,3
London Premier Laser & Skin Clinic Soho,6
Man & Mary's Team,0
Maple Salon,0
Miko Hair Studio,0
O'Neill's Wardour Street,146
Oriental Fashion Store and feng shui gifts and crafts,1
Rose Hair Salon,1
Slug & Lettuce Leicester Square,49
Sunrise,0
"The Rialto, Grosvenor Casino Piccadilly",14
Waxy O'Connor's,197
Tang's Salon,2
Chinese Mini Market 繆嫂菜店,0
Café de Paris,13
上海大中华,1
水光针 美白针 英国伦敦顶级美容会所,0
美发屋,0
Noodle Hor Fan,0
Hong Ning Clinic 康宁中医诊所,0
New China 中华楼,1
HOT POT Thai Cuisine,8
Shake Shack Leicester Square,175
Canton,5
MW Buffet,35
LEON,41
